# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 28, mean track length: 2
11 -25.822353931864633 -11.428423141805315 442.23717189320519 125 96 85 3.3877869920108723 2 2455 1 1030
67 200.08191437492897 -11.914451252162998 477.45679033594098 220 183 150 1.5030814208713865 4 1416 3 2054
3 -22.929181699468725 -8.2454772198037229 439.60665327424789 88 57 43 3.2625909302440954 2 2237 1 255
6 3.1446789123588905 -2.5625506147446946 424.06087624515953 148 107 88 3.5304757941656648 2 1991 1 749
20 28.190538034996344 -56.921095005665386 408.71539739845434 12 12 12 2.8925632410957283 2 2421 1 1236
21 -27.341692666583395 -9.2270988705606758 442.16643982053768 141 120 115 3.2710049686367864 2 2615 1 1281
24 40.15373137175127 -0.081068061313061573 299.84886001271673 10 132 224 3.3496937415284211 2 2764 1 1501
25 -26.713619879271661 18.166921841122402 437.33702253657748 166 117 88 3.5011693919761333 2 2869 1 1515
26 -26.238555841103402 44.667642572864445 441.23539154675973 175 134 108 3.7083698635854088 2 2782 1 1538
31 0.065914411856245192 -26.083032907219799 415.37767384044685 163 122 109 1.6572448960108794 2 2913 1 1629
36 108.64685548307308 -17.984638003730893 221.88718390167546 13 145 238 0.20643592368888275 2 2750 1 1729
38 46.716295681865731 14.612260189970428 297.61496329106501 216 163 117 3.867510419236444 2 2930 1 1744
43 -8.4844642953368279 1.8873197591053592 427.44769846419621 175 121 100 3.6060314800409494 2 2961 1 1813
53 159.72809934898484 26.33709693315847 369.69713971077965 208 188 183 0.38660709923072101 4 759 3 1159
54 157.82019467973129 -69.777433341897648 842.88477291313961 22 19 15 0.58138857898843421 4 919 3 1347
55 278.36891985643342 108.56814860971618 1370.0399742984216 43 50 48 2.1374090818105533 4 769 3 1434
56 316.29851817210516 127.16698698320137 1398.3325194665736 40 47 47 2.4625972263285658 4 780 3 1444
57 124.66945895636756 40.633186616249866 359.74945291892408 231 192 160 0.055786536107627564 4 1139 3 1640
58 195.75445722664202 15.984304624398915 467.81916978827314 27 103 178 0.70941344815043794 4 1122 3 1766
59 150.29967688850635 105.1085205887231 507.52478313161077 52 104 171 1.7113733289160784 4 1161 3 1813
60 150.29967688850635 105.1085205887231 507.52478313161077 52 104 171 1.7113733289160784 4 1162 3 1814
61 185.53881800022737 -63.646693596524635 378.6477615499598 25 120 212 3.3361539036502466 4 1226 3 1869
62 158.18141109685115 -34.088386962972002 346.98863823060759 22 135 232 2.2610576472505493 4 1330 3 1880
63 206.26900602071555 -16.893968863561089 479.60352113486164 18 110 198 1.5938946748592753 4 1105 3 1896
64 194.44393322979133 -4.974603988086673 467.14132659747986 200 144 107 1.3796864024358508 4 1345 3 1995
65 115.27005514933096 7.1835527656689848 345.95818641513421 237 207 182 0.08134227642948208 4 1422 3 2005
66 120.17732207299909 43.688478736112103 358.86836482565189 203 148 123 0.68151218149319348 4 1435 3 2017
68 124.88831804296092 34.064109464923312 357.11014661763483 233 194 158 0.067381665267804036 4 1514 3 2102
